Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-01-02 00:00:00+01:00,35.050223586862344,35.32491538616582,34.22995546950938,34.66107177734375,1233321,0.0,0.0
2015-01-05 00:00:00+01:00,34.310074983774676,34.58095368658801,33.440210324427085,33.482177734375,2148890,0.0,0.0
2015-01-06 00:00:00+01:00,33.74161328262552,33.74924239816907,33.11592102050781,33.11592102050781,1592656,0.0,0.0
2015-01-07 00:00:00+01:00,33.360094539029525,35.115085157641445,33.34483339668756,34.33678436279297,3580013,0.0,0.0
2015-01-08 00:00:00+01:00,34.85946187533741,35.664468810025724,34.54279977271759,35.53856658935547,2107098,0.0,0.0
2015-01-09 00:00:00+01:00,35.50423092580449,36.15662942108497,35.31347102973073,35.53093719482422,2024266,0.0,0.0
2015-01-12 00:00:00+01:00,35.60724654271771,36.622087780061534,35.561463115100466,36.34739303588867,2374354,0.0,0.0
2015-01-13 00:00:00+01:00,36.202404893437574,36.976889435686466,35.96204852504583,36.831912994384766,2169508,0.0,0.0
2015-01-14 00:00:00+01:00,36.10702936248676,37.018861343624756,35.85141182534668,36.21767044067383,2467135,0.0,0.0
2015-01-15 00:00:00+01:00,36.526702781667545,37.05320193893165,34.66107129750582,36.778507232666016,2766378,0.0,0.0
2015-01-16 00:00:00+01:00,36.499997073815095,36.721279247343716,35.881936885996126,36.46947479248047,2961228,0.0,0.0
2015-01-19 00:00:00+01:00,36.46184069217188,37.04174940441524,36.21003918250193,36.98452377319336,2167735,0.0,0.0
2015-01-20 00:00:00+01:00,37.08372368090102,37.22488705586212,36.55722740072722,36.763248443603516,2430626,0.0,0.0
2015-01-21 00:00:00+01:00,36.740354328309145,37.26685055318901,36.33975741299385,37.25540542602539,2338050,0.0,0.0
2015-01-22 00:00:00+01:00,37.2477685718849,37.38893191372005,36.79376209225238,37.18291091918945,3336035,0.0,0.0
2015-01-23 00:00:00+01:00,37.38893968444429,37.99937077060874,37.00360387880468,37.61022186279297,3126326,0.0,0.0
2015-01-26 00:00:00+01:00,37.29736712499527,37.907798070010664,37.02267247204725,37.789527893066406,1894892,0.0,0.0
2015-01-27 00:00:00+01:00,37.67889414322664,37.78571921549433,35.878120322814475,36.45421600341797,3896776,0.0,0.0
2015-01-28 00:00:00+01:00,36.61827184204753,36.67931349671192,35.39359071731307,35.85523223876953,3163689,0.0,0.0
2015-01-29 00:00:00+01:00,35.59198178534541,36.202412871084846,35.44318929915783,36.1261100769043,1793592,0.0,0.0
